demandPrice	demandQuantity	supplyPrice	supplyQuantity	nationality
5.1	3.5	1.4	0.2	American
4.9	3.0	1.4	0.2	American
4.7	3.2	1.3	0.2	American
4.6	3.1	1.5	0.2	American
7.0	3.6	1.4	0.2	American
7.4	3.9	1.7	0.4	American
6.6	3.4	1.4	0.3	American
7.0	3.4	1.5	0.2	American
4.4	2.9	1.4	0.2	American
4.9	2.1	1.5	0.1	American
5.4	2.7	1.5	0.2	American
4.8	2.4	1.6	0.2	American
4.8	1.0	1.4	0.1	American
4.3	3.0	1.1	0.1	American
5.8	4.0	1.2	0.2	American
3.7	4.4	1.5	0.4	American
3.4	3.9	1.3	0.4	American
3.1	3.5	1.4	0.3	American
3.7	3.8	1.7	0.3	American
5.1	3.8	1.5	0.3	American
5.4	3.4	1.7	0.2	American
5.1	3.7	1.5	0.4	American
4.6	3.6	1.0	0.2	American
5.1	5.3	1.7	0.5	American
4.8	5.4	1.9	0.2	American
3.0	5.0	1.6	0.2	American
3.0	5.4	1.6	0.4	American
3.2	3.5	1.5	0.2	American
5.2	3.4	1.4	0.2	American
4.7	3.2	1.6	0.2	American
4.8	4.1	1.6	0.2	American
6.4	4.4	1.5	0.4	American
6.2	6.1	1.5	0.1	American
5.5	5.2	1.4	0.2	American
4.9	4.1	1.5	0.2	American
5.0	5.2	1.2	0.2	American
5.5	5.5	1.3	0.2	American
4.9	3.6	1.4	0.1	American
4.4	3.0	1.3	0.2	American
5.1	3.4	1.5	0.2	American
5.0	3.5	1.3	0.3	American
4.5	2.3	1.3	0.3	American
4.4	3.2	1.3	0.2	American
5.0	3.5	1.6	0.6	American
5.1	3.8	1.9	0.4	American
4.8	3.0	1.4	0.3	American
5.1	3.8	1.6	0.2	American
4.6	3.2	1.4	0.2	American
5.3	3.7	1.5	0.2	American
5.0	3.3	1.4	0.2	American
7.0	3.2	4.7	1.4	Canadian
6.4	3.2	4.5	1.5	Canadian
6.9	3.1	4.9	1.5	Canadian
5.5	2.3	4.0	1.3	Canadian
6.5	2.8	4.6	1.5	Canadian
5.7	2.8	4.5	1.3	Canadian
6.3	3.3	4.7	1.6	Canadian
4.9	2.4	3.3	1.0	Canadian
6.6	2.9	4.6	1.3	Canadian
5.2	2.7	3.9	1.4	Canadian
5.0	2.0	3.5	1.0	Canadian
5.9	3.0	4.2	1.5	Canadian
6.0	2.2	4.0	1.0	Canadian
6.1	2.9	4.7	1.4	Canadian
5.6	2.9	3.6	1.3	Canadian
6.7	3.1	4.4	1.4	Canadian
5.6	3.0	4.5	1.5	Canadian
5.8	2.7	4.1	1.0	Canadian
6.2	2.2	4.5	1.5	Canadian
5.6	2.5	3.9	1.1	Canadian
5.9	3.2	4.8	1.8	Canadian
6.1	2.8	4.0	1.3	Canadian
6.3	2.5	4.9	1.5	Canadian
7.1	2.8	4.7	1.2	Canadian
7.4	4.9	4.3	1.3	Canadian
7.6	4.0	4.4	1.4	Canadian
7.8	3.8	4.8	1.4	Canadian
7.7	4.0	5.0	1.7	Canadian
4.0	3.9	4.5	1.5	Canadian
4.7	3.6	3.5	1.0	Canadian
4.5	3.4	3.8	1.1	Canadian
4.5	2.4	3.7	1.0	Canadian
4.8	2.7	3.9	1.2	Canadian
5.0	2.7	5.1	1.6	Canadian
5.4	3.0	4.5	1.5	Canadian
6.0	3.4	4.5	1.6	Canadian
6.7	3.1	4.7	1.5	Canadian
6.3	2.3	4.4	1.3	Canadian
5.1	3.0	4.1	1.3	Canadian
5.2	2.5	4.0	1.3	Canadian
5.9	2.6	4.4	1.2	Canadian
6.1	3.0	4.6	1.4	Canadian
4.8	4.6	4.0	1.2	Canadian
4.0	4.3	3.3	1.0	Canadian
4.6	4.7	4.2	1.3	Canadian
4.7	4.0	4.2	1.2	Canadian
4.7	4.9	4.2	1.3	Canadian
4.2	2.9	4.3	1.3	Canadian
4.1	8.5	3.0	1.1	Canadian
4.7	8.8	4.1	1.3	Canadian
